Entity Type,ID,Class/Race,Expected Name,Source,Reason
Spell,409593,Hunter,Kill Shot,https://www.wowhead.com/tbc/spell=409593,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/409593: HTTP 404
Spell,415320,Hunter,Flanking Strike,https://www.wowhead.com/tbc/spell=415320,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/415320: HTTP 404
Spell,415423,Hunter,Aspect of the Viper,https://www.wowhead.com/tbc/spell=415423,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/415423: HTTP 404
Spell,425711,Hunter,Carve,https://www.wowhead.com/tbc/spell=425711,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/425711: HTTP 404
Spell,428726,Hunter,Focus Fire,https://www.wowhead.com/tbc/spell=428726,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/428726: HTTP 404
Spell,437123,Hunter,Steady Shot,https://www.wowhead.com/tbc/spell=437123,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/437123: HTTP 404
Spell,458479,Hunter,Wyvern Strike,https://www.wowhead.com/tbc/spell=458479,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/458479: HTTP 404
Spell,469145,Hunter,Aspect of the Falcon,https://www.wowhead.com/tbc/spell=469145,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/469145: HTTP 404
Spell,400574,Mage,Arcane Blast,https://www.wowhead.com/tbc/spell=400574,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/400574: HTTP 404
Spell,400610,Mage,Arcane Barrage,https://www.wowhead.com/tbc/spell=400610,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/400610: HTTP 404
Spell,400613,Mage,Living Bomb,https://www.wowhead.com/tbc/spell=400613,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/400613: HTTP 404
Spell,400640,Mage,Ice Lance,https://www.wowhead.com/tbc/spell=400640,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/400640: HTTP 404
Spell,401417,Mage,Regeneration,https://www.wowhead.com/tbc/spell=401417,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/401417: HTTP 404
Spell,401462,Mage,Rewind Time,https://www.wowhead.com/tbc/spell=401462,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/401462: HTTP 404
Spell,401502,Mage,Frostfire Bolt,https://www.wowhead.com/tbc/spell=401502,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/401502: HTTP 404
Spell,401556,Mage,Living Flame,https://www.wowhead.com/tbc/spell=401556,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/401556: HTTP 404
Spell,412510,Mage,Mass Regeneration,https://www.wowhead.com/tbc/spell=412510,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/412510: HTTP 404
Spell,412532,Mage,Spellfrost Bolt,https://www.wowhead.com/tbc/spell=412532,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/412532: HTTP 404
Spell,425121,Mage,Icy Veins,https://www.wowhead.com/tbc/spell=425121,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/425121: HTTP 404
Spell,425124,Mage,Arcane Surge,https://www.wowhead.com/tbc/spell=425124,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/425124: HTTP 404
Spell,428739,Mage,Deep Freeze,https://www.wowhead.com/tbc/spell=428739,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/428739: HTTP 404
Spell,428741,Mage,Molten Armor,https://www.wowhead.com/tbc/spell=428741,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/428741: HTTP 404
Spell,428861,Mage,Displacement,https://www.wowhead.com/tbc/spell=428861,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/428861: HTTP 404
Spell,428878,Mage,Balefire Bolt,https://www.wowhead.com/tbc/spell=428878,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/428878: HTTP 404
Spell,428885,Mage,Temporal Anomaly,https://www.wowhead.com/tbc/spell=428885,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/428885: HTTP 404
Spell,436516,Mage,Chronostatic Preservation,https://www.wowhead.com/tbc/spell=436516,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/436516: HTTP 404
Spell,440802,Mage,Frozen Orb,https://www.wowhead.com/tbc/spell=440802,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/440802: HTTP 404
Spell,407613,Paladin,Beacon of Light,https://www.wowhead.com/tbc/spell=407613,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/407613: HTTP 404
Spell,407624,Paladin,Aura Mastery,https://www.wowhead.com/tbc/spell=407624,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/407624: HTTP 404
Spell,407631,Paladin,Hand of Reckoning,https://www.wowhead.com/tbc/spell=407631,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/407631: HTTP 404
Spell,407632,Paladin,Hammer of the Righteous,https://www.wowhead.com/tbc/spell=407632,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/407632: HTTP 404
Spell,407669,Paladin,Avenger's Shield,https://www.wowhead.com/tbc/spell=407669,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/407669: HTTP 404
Spell,407676,Paladin,Crusader Strike,https://www.wowhead.com/tbc/spell=407676,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/407676: HTTP 404
Spell,407778,Paladin,Divine Storm,https://www.wowhead.com/tbc/spell=407778,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/407778: HTTP 404
Spell,407788,Paladin,Avenging Wrath,https://www.wowhead.com/tbc/spell=407788,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/407788: HTTP 404
Spell,407798,Paladin,Seal of Martyrdom,https://www.wowhead.com/tbc/spell=407798,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/407798: HTTP 404
Spell,412019,Paladin,Sacred Shield,https://www.wowhead.com/tbc/spell=412019,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/412019: HTTP 404
Spell,425600,Paladin,Horn of Lordaeron,https://www.wowhead.com/tbc/spell=425600,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/425600: HTTP 404
Spell,425609,Paladin,Rebuke,https://www.wowhead.com/tbc/spell=425609,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/425609: HTTP 404
Spell,440658,Paladin,Shield of Righteousness,https://www.wowhead.com/tbc/spell=440658,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/440658: HTTP 404
Spell,458856,Paladin,Divine Light,https://www.wowhead.com/tbc/spell=458856,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/458856: HTTP 404
Spell,461607,Paladin,Divine Steed,https://www.wowhead.com/tbc/spell=461607,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/461607: HTTP 404
Spell,462853,Paladin,Hand of Sacrifice,https://www.wowhead.com/tbc/spell=462853,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/462853: HTTP 404
Spell,401859,Priest,Prayer of Mending,https://www.wowhead.com/tbc/spell=401859,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/401859: HTTP 404
Spell,401937,Priest,Binding Heal,https://www.wowhead.com/tbc/spell=401937,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/401937: HTTP 404
Spell,401946,Priest,Circle of Healing,https://www.wowhead.com/tbc/spell=401946,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/401946: HTTP 404
Spell,401955,Priest,Shadow Word: Death,https://www.wowhead.com/tbc/spell=401955,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/401955: HTTP 404
Spell,401977,Priest,Shadowfiend,https://www.wowhead.com/tbc/spell=401977,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/401977: HTTP 404
Spell,402004,Priest,Pain Suppression,https://www.wowhead.com/tbc/spell=402004,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/402004: HTTP 404
Spell,402174,Priest,Penance,https://www.wowhead.com/tbc/spell=402174,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/402174: HTTP 404
Spell,402668,Priest,Vampiric Touch,https://www.wowhead.com/tbc/spell=402668,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/402668: HTTP 404
Spell,402789,Priest,Eye of the Void,https://www.wowhead.com/tbc/spell=402789,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/402789: HTTP 404
Spell,402799,Priest,Homunculi,https://www.wowhead.com/tbc/spell=402799,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/402799: HTTP 404
Spell,413259,Priest,Mind Sear,https://www.wowhead.com/tbc/spell=413259,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/413259: HTTP 404
Spell,425204,Priest,Void Plague,https://www.wowhead.com/tbc/spell=425204,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/425204: HTTP 404
Spell,425207,Priest,Power Word: Barrier,https://www.wowhead.com/tbc/spell=425207,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/425207: HTTP 404
Spell,425266,Priest,Empowered Renew,https://www.wowhead.com/tbc/spell=425266,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/425266: HTTP 404
Spell,425284,Priest,Spirit of the Redeemer,https://www.wowhead.com/tbc/spell=425284,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/425284: HTTP 404
Spell,425294,Priest,Dispersion,https://www.wowhead.com/tbc/spell=425294,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/425294: HTTP 404
Spell,431622,Priest,Divine Aegis,https://www.wowhead.com/tbc/spell=431622,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/431622: HTTP 404
Spell,431655,Priest,Mind Spike,https://www.wowhead.com/tbc/spell=431655,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/431655: HTTP 404
Spell,431681,Priest,Void Zone,https://www.wowhead.com/tbc/spell=431681,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/431681: HTTP 404
Spell,398196,Rogue,Quick Draw,https://www.wowhead.com/tbc/spell=398196,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/398196: HTTP 404
Spell,399956,Rogue,Mutilate,https://www.wowhead.com/tbc/spell=399956,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/399956: HTTP 404
Spell,399963,Rogue,Envenom,https://www.wowhead.com/tbc/spell=399963,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/399963: HTTP 404
Spell,399985,Rogue,Shadowstrike,https://www.wowhead.com/tbc/spell=399985,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/399985: HTTP 404
Spell,399986,Rogue,Shuriken Toss,https://www.wowhead.com/tbc/spell=399986,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/399986: HTTP 404
Spell,400009,Rogue,Between the Eyes,https://www.wowhead.com/tbc/spell=400009,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/400009: HTTP 404
Spell,400012,Rogue,Blade Dance,https://www.wowhead.com/tbc/spell=400012,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/400012: HTTP 404
Spell,400029,Rogue,Shadowstep,https://www.wowhead.com/tbc/spell=400029,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/400029: HTTP 404
Spell,409240,Rogue,Fan of Knives,https://www.wowhead.com/tbc/spell=409240,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/409240: HTTP 404
Spell,412096,Rogue,Crimson Tempest,https://www.wowhead.com/tbc/spell=412096,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/412096: HTTP 404
Spell,424785,Rogue,Saber Slash,https://www.wowhead.com/tbc/spell=424785,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/424785: HTTP 404
Spell,424919,Rogue,Main Gauche,https://www.wowhead.com/tbc/spell=424919,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/424919: HTTP 404
Spell,425012,Rogue,Poisoned Knife,https://www.wowhead.com/tbc/spell=425012,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/425012: HTTP 404
Spell,436564,Rogue,Blunderbuss,https://www.wowhead.com/tbc/spell=436564,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/436564: HTTP 404
Spell,438040,Rogue,Redirect,https://www.wowhead.com/tbc/spell=438040,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/438040: HTTP 404
Spell,408339,Shaman,Fire Nova,https://www.wowhead.com/tbc/spell=408339,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/408339: HTTP 404
Spell,408490,Shaman,Lava Burst,https://www.wowhead.com/tbc/spell=408490,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/408490: HTTP 404
Spell,408507,Shaman,Lava Lash,https://www.wowhead.com/tbc/spell=408507,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/408507: HTTP 404
Spell,408510,Shaman,Water Shield,https://www.wowhead.com/tbc/spell=408510,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/408510: HTTP 404
Spell,408514,Shaman,Earth Shield,https://www.wowhead.com/tbc/spell=408514,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/408514: HTTP 404
Spell,408521,Shaman,Riptide,https://www.wowhead.com/tbc/spell=408521,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/408521: HTTP 404
Spell,415236,Shaman,Healing Rain,https://www.wowhead.com/tbc/spell=415236,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/415236: HTTP 404
Spell,425336,Shaman,Shamanistic Rage,https://www.wowhead.com/tbc/spell=425336,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/425336: HTTP 404
Spell,425339,Shaman,Molten Blast,https://www.wowhead.com/tbc/spell=425339,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/425339: HTTP 404
Spell,437009,Shaman,Totemic Projection,https://www.wowhead.com/tbc/spell=437009,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/437009: HTTP 404
Spell,440580,Shaman,Feral Spirit,https://www.wowhead.com/tbc/spell=440580,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/440580: HTTP 404
Spell,403501,Warlock,Haunt,https://www.wowhead.com/tbc/spell=403501,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/403501: HTTP 404
Spell,403619,Warlock,Fel Armor,https://www.wowhead.com/tbc/spell=403619,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/403619: HTTP 404
Spell,403628,Warlock,Shadow Bolt Volley,https://www.wowhead.com/tbc/spell=403628,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/403628: HTTP 404
Spell,403629,Warlock,Chaos Bolt,https://www.wowhead.com/tbc/spell=403629,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/403629: HTTP 404
Spell,403666,Warlock,Lake of Fire,https://www.wowhead.com/tbc/spell=403666,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/403666: HTTP 404
Spell,403668,Warlock,Master Channeler,https://www.wowhead.com/tbc/spell=403668,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/403668: HTTP 404
Spell,403789,Warlock,Metamorphosis,https://www.wowhead.com/tbc/spell=403789,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/403789: HTTP 404
Spell,412758,Warlock,Incinerate,https://www.wowhead.com/tbc/spell=412758,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/412758: HTTP 404
Spell,412789,Warlock,Demonic Howl,https://www.wowhead.com/tbc/spell=412789,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/412789: HTTP 404
Spell,425463,Warlock,Demonic Grace,https://www.wowhead.com/tbc/spell=425463,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/425463: HTTP 404
Spell,426195,Warlock,Vengeance,https://www.wowhead.com/tbc/spell=426195,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/426195: HTTP 404
Spell,426320,Warlock,Shadowflame,https://www.wowhead.com/tbc/spell=426320,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/426320: HTTP 404
Spell,427717,Warlock,Unstable Affliction,https://www.wowhead.com/tbc/spell=427717,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/427717: HTTP 404
Spell,427726,Warlock,Immolation Aura,https://www.wowhead.com/tbc/spell=427726,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/427726: HTTP 404
Spell,427733,Warlock,Summon Felguard,https://www.wowhead.com/tbc/spell=427733,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/427733: HTTP 404
Spell,440882,Warlock,Infernal Armor,https://www.wowhead.com/tbc/spell=440882,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/440882: HTTP 404
Spell,402911,Warrior,Raging Blow,https://www.wowhead.com/tbc/spell=402911,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/402911: HTTP 404
Spell,402913,Warrior,Enraged Regeneration,https://www.wowhead.com/tbc/spell=402913,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/402913: HTTP 404
Spell,402927,Warrior,Victory Rush,https://www.wowhead.com/tbc/spell=402927,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/402927: HTTP 404
Spell,403195,Warrior,Devastate,https://www.wowhead.com/tbc/spell=403195,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/403195: HTTP 404
Spell,403215,Warrior,Commanding Shout,https://www.wowhead.com/tbc/spell=403215,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/403215: HTTP 404
Spell,403228,Warrior,Meathook,https://www.wowhead.com/tbc/spell=403228,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/403228: HTTP 404
Spell,403338,Warrior,Intervene,https://www.wowhead.com/tbc/spell=403338,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/403338: HTTP 404
Spell,412513,Warrior,Gladiator Stance,https://www.wowhead.com/tbc/spell=412513,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/412513: HTTP 404
Spell,426490,Warrior,Rallying Cry,https://www.wowhead.com/tbc/spell=426490,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/426490: HTTP 404
Spell,426940,Warrior,Rampage,https://www.wowhead.com/tbc/spell=426940,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/426940: HTTP 404
Spell,429765,Warrior,Quick Strike,https://www.wowhead.com/tbc/spell=429765,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/429765: HTTP 404
Spell,440488,Warrior,Shockwave,https://www.wowhead.com/tbc/spell=440488,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/440488: HTTP 404
Spell,461475,Warrior,Valor of Azeroth,https://www.wowhead.com/tbc/spell=461475,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/461475: HTTP 404
