Specialization,Type,Name,Spell ID,Canonical ID,Rank,Learned Level,Description,Category,HUD Row,Cooldown,Duration,Resource Cost,Aura ID,Track Mode,Tags,Wowhead Source,Notes
Arcane,Ability,Arcane Missiles,25345,5143,Rank 8,60,"Launches Arcane Missiles at the enemy, causing 
234 Arcane damage every 1 sec for 5 sec.",Offensive,Main,0,5,655 Mana,,Cooldown,"DPS, FILLER, PVE, ROTATIONAL",https://www.wowhead.com/tbc/spell=25345,
Arcane,Ability,Arcane Missiles,27075,5143,Rank 9,63,"Launches Arcane Missiles at the enemy, causing 
245 Arcane damage every 1 sec for 5 sec.",Offensive,Main,0,5,685 Mana,,Cooldown,"DPS, FILLER, PVE, ROTATIONAL",https://www.wowhead.com/tbc/spell=27075,
Arcane,Ability,Arcane Missiles,38699,5143,Rank 10,69,"Launches Arcane Missiles at the enemy, causing 
265 Arcane damage every 1 sec for 5 sec.",Offensive,Main,0,5,740 Mana,,Cooldown,"DPS, FILLER, PVE, ROTATIONAL",https://www.wowhead.com/tbc/spell=38699,
Arcane,Ability,Arcane Missiles,38704,5143,Rank 11,70,"Launches Arcane Missiles at the enemy, causing 
286 Arcane damage every 1 sec for 5 sec.",Offensive,Main,0,5,785 Mana,,Cooldown,"DPS, FILLER, PVE, ROTATIONAL",https://www.wowhead.com/tbc/spell=38704,
Arcane,Ability,Arcane Surge,425124,425124,,,"Unleash all of your remaining mana in a surge of energy focused at the target, dealing damage based on the amount of mana consumed. For the next 8 sec your mana regeneration is increased and damage done is increased.",Offensive,Main,120,8,,,Cooldown + aura,"DPS, HAS_BUFF, MAJOR, OFFENSIVE_CD, PVE_PVP",https://www.wowhead.com/tbc/spell=425124,
Arcane,Ability,Temporal Anomaly,428885,428885,,,Launches an orb of temporal energy which slowly moves forward and every 2 sec grants all nearby party or raid members a shield absorbing damage.,Utility,Utility,30,10,,,Cooldown,"AOE, MINOR, PVE, UTILITY",https://www.wowhead.com/tbc/spell=428885,
Arcane,Talent,Arcane Concentration,11213,11213,Rank 1/5,,Gives you a 2% chance of entering a Clearcasting state after any damage spell hits a target. The Clearcasting state reduces the mana cost of your next damage spell by 100%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=11213,Talent: Arcane Concentration; tree row 2
Arcane,Talent,Arcane Concentration,12574,11213,Rank 2/5,,Gives you a 4% chance of entering a Clearcasting state after any damage spell hits a target. The Clearcasting state reduces the mana cost of your next damage spell by 100%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=12574,Talent: Arcane Concentration; tree row 2
Arcane,Talent,Arcane Concentration,12575,11213,Rank 3/5,,Gives you a 6% chance of entering a Clearcasting state after any damage spell hits a target. The Clearcasting state reduces the mana cost of your next damage spell by 100%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=12575,Talent: Arcane Concentration; tree row 2
Arcane,Talent,Arcane Concentration,12576,11213,Rank 4/5,,Gives you a 8% chance of entering a Clearcasting state after any damage spell hits a target. The Clearcasting state reduces the mana cost of your next damage spell by 100%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=12576,Talent: Arcane Concentration; tree row 2
Arcane,Talent,Arcane Concentration,12577,11213,Rank 5/5,,Gives you a 10% chance of entering a Clearcasting state after any damage spell hits a target. The Clearcasting state reduces the mana cost of your next damage spell by 100%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=12577,Talent: Arcane Concentration; tree row 2
Arcane,Talent,Arcane Focus,11222,11222,Rank 1/5,,Reduces the chance that the opponent can resist your Arcane spells by 2%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=11222,Talent: Arcane Focus; tree row 1
Arcane,Talent,Arcane Focus,12839,11222,Rank 2/5,,Reduces the chance that the opponent can resist your Arcane spells by 4%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=12839,Talent: Arcane Focus; tree row 1
Arcane,Talent,Arcane Focus,12840,11222,Rank 3/5,,Reduces the chance that the opponent can resist your Arcane spells by 6%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=12840,Talent: Arcane Focus; tree row 1
Arcane,Talent,Arcane Focus,12841,11222,Rank 4/5,,Reduces the chance that the opponent can resist your Arcane spells by 8%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=12841,Talent: Arcane Focus; tree row 1
Arcane,Talent,Arcane Focus,12842,11222,Rank 5/5,,Reduces the chance that the opponent can resist your Arcane spells by 10%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=12842,Talent: Arcane Focus; tree row 1
Arcane,Talent,Arcane Fortitude,28574,28574,Rank 1/1,,Increases your armor by an amount equal to 100% of your Intellect.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=28574,Talent: Arcane Fortitude; tree row 3
Arcane,Talent,Arcane Impact,11242,11242,Rank 1/3,,Increases the critical strike chance of your Arcane Explosion and Arcane Blast spells by an additional 2%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=11242,Talent: Arcane Impact; tree row 3
Arcane,Talent,Arcane Impact,12467,11242,Rank 2/3,,Increases the critical strike chance of your Arcane Explosion and Arcane Blast spells by an additional 4%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=12467,Talent: Arcane Impact; tree row 3
Arcane,Talent,Arcane Impact,12469,11242,Rank 3/3,,Increases the critical strike chance of your Arcane Explosion and Arcane Blast spells by an additional 6%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=12469,Talent: Arcane Impact; tree row 3
Arcane,Talent,Arcane Instability,15058,15058,Rank 1/3,,Increases your spell damage and critical strike chance by 1%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=15058,Talent: Arcane Instability; tree row 6
Arcane,Talent,Arcane Instability,15059,15058,Rank 2/3,,Increases your spell damage and critical strike chance by 2%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=15059,Talent: Arcane Instability; tree row 6
Arcane,Talent,Arcane Instability,15060,15058,Rank 3/3,,Increases your spell damage and critical strike chance by 3%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=15060,Talent: Arcane Instability; tree row 6
Arcane,Talent,Arcane Meditation,18462,18462,Rank 1/3,,Allows 10% of your mana regeneration to continue while casting.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=18462,Talent: Arcane Meditation; tree row 4
Arcane,Talent,Arcane Meditation,18463,18462,Rank 2/3,,Allows 20% of your mana regeneration to continue while casting.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=18463,Talent: Arcane Meditation; tree row 4
Arcane,Talent,Arcane Meditation,18464,18462,Rank 3/3,,Allows 30% of your mana regeneration to continue while casting.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=18464,Talent: Arcane Meditation; tree row 4
Arcane,Talent,Arcane Mind,11232,11232,Rank 1/5,,Increases your total Intellect by 3%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=11232,Talent: Arcane Mind; tree row 5
Arcane,Talent,Arcane Mind,12500,11232,Rank 2/5,,Increases your total Intellect by 6%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=12500,Talent: Arcane Mind; tree row 5
Arcane,Talent,Arcane Mind,12501,11232,Rank 3/5,,Increases your total Intellect by 9%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=12501,Talent: Arcane Mind; tree row 5
Arcane,Talent,Arcane Mind,12502,11232,Rank 4/5,,Increases your total Intellect by 12%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=12502,Talent: Arcane Mind; tree row 5
Arcane,Talent,Arcane Mind,12503,11232,Rank 5/5,,Increases your total Intellect by 15%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=12503,Talent: Arcane Mind; tree row 5
Arcane,Talent,Arcane Potency,31571,31571,Rank 1/3,,Increases the critical strike chance of any spell cast while Clearcasting by 10%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=31571,Talent: Arcane Potency; tree row 6
Arcane,Talent,Arcane Potency,31572,31571,Rank 2/3,,Increases the critical strike chance of any spell cast while Clearcasting by 20%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=31572,Talent: Arcane Potency; tree row 6
Arcane,Talent,Arcane Potency,31573,31571,Rank 3/3,,Increases the critical strike chance of any spell cast while Clearcasting by 30%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=31573,Talent: Arcane Potency; tree row 6
Arcane,Talent Ability,Arcane Power,12042,12042,Rank 1/1,,"When activated, your spells deal 30% more damage while costing 30% more mana to cast. This effect lasts 15 sec.",Offensive,Main,180,15,,,Cooldown + aura,"DPS, HAS_BUFF, MAJOR, PVE",https://www.wowhead.com/tbc/spell=12042,Talent-required | Talent: Arcane Power
Arcane,Talent,Arcane Subtlety,11210,11210,Rank 1/2,,Reduces your target's resistance to all your spells by 5 and reduces the threat caused by your Arcane spells by 20%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=11210,Talent: Arcane Subtlety; tree row 1
Arcane,Talent,Arcane Subtlety,12592,11210,Rank 2/2,,Reduces your target's resistance to all your spells by 10 and reduces the threat caused by your Arcane spells by 40%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=12592,Talent: Arcane Subtlety; tree row 1
Arcane,Talent,Empowered Arcane Missiles,31579,31579,Rank 1/3,,"Your Arcane Missiles spell gains an additional 15% of your bonus spell damage effects, but mana cost is increased by 2%.",Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=31579,Talent: Empowered Arcane Missiles; tree row 7
Arcane,Talent,Empowered Arcane Missiles,31582,31579,Rank 2/3,,"Your Arcane Missiles spell gains an additional 30% of your bonus spell damage effects, but mana cost is increased by 4%.",Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=31582,Talent: Empowered Arcane Missiles; tree row 7
Arcane,Talent,Empowered Arcane Missiles,31583,31579,Rank 3/3,,"Your Arcane Missiles spell gains an additional 45% of your bonus spell damage effects, but mana cost is increased by 6%.",Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=31583,Talent: Empowered Arcane Missiles; tree row 7
Arcane,Talent,Improved Arcane Missiles,11237,11237,Rank 1/5,,Gives you a 20% chance to avoid interruption caused by damage while channeling Arcane Missiles.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=11237,Talent: Improved Arcane Missiles; tree row 1
Arcane,Talent,Improved Arcane Missiles,12463,11237,Rank 2/5,,Gives you a 40% chance to avoid interruption caused by damage while channeling Arcane Missiles.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=12463,Talent: Improved Arcane Missiles; tree row 1
Arcane,Talent,Improved Arcane Missiles,12464,11237,Rank 3/5,,Gives you a 60% chance to avoid interruption caused by damage while channeling Arcane Missiles.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=12464,Talent: Improved Arcane Missiles; tree row 1
Arcane,Talent,Improved Arcane Missiles,16769,11237,Rank 4/5,,Gives you a 80% chance to avoid interruption caused by damage while channeling Arcane Missiles.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=16769,Talent: Improved Arcane Missiles; tree row 1
Arcane,Talent,Improved Arcane Missiles,16770,11237,Rank 5/5,,Gives you a 100% chance to avoid interruption caused by damage while channeling Arcane Missiles.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=16770,Talent: Improved Arcane Missiles; tree row 1
Arcane,Talent,Improved Blink,31569,31569,Rank 1/2,,"For 4 sec after casting Blink, your chance to be hit by all attacks and spells is reduced by 13%.",Talent Passive,Data only,,4,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=31569,Talent: Improved Blink; tree row 5
Arcane,Talent,Improved Blink,31570,31569,Rank 2/2,,"For 4 sec after casting Blink, your chance to be hit by all attacks and spells is reduced by 25%.",Talent Passive,Data only,,4,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=31570,Talent: Improved Blink; tree row 5
Arcane,Talent,Improved Counterspell,11255,11255,Rank 1/2,,Gives your Counterspell a 50% chance to silence the target for 4 sec.,Talent Passive,Data only,,4,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=11255,Talent: Improved Counterspell; tree row 4
Arcane,Talent,Improved Counterspell,12598,11255,Rank 2/2,,Gives your Counterspell a 100% chance to silence the target for 4 sec.,Talent Passive,Data only,,4,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=12598,Talent: Improved Counterspell; tree row 4
Arcane,Talent,Improved Mana Shield,11252,11252,Rank 1/2,,Decreases the mana lost per point of damage taken when Mana Shield is active by 10%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=11252,Talent: Improved Mana Shield; tree row 4
Arcane,Talent,Improved Mana Shield,12605,11252,Rank 2/2,,Decreases the mana lost per point of damage taken when Mana Shield is active by 20%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=12605,Talent: Improved Mana Shield; tree row 4
Arcane,Talent,Magic Absorption,29441,29441,Rank 1/5,,Increases all resistances by 2 and causes all spells you fully resist to restore 1% of your total mana. 1 sec. cooldown.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=29441,Talent: Magic Absorption; tree row 2
Arcane,Talent,Magic Absorption,29444,29441,Rank 2/5,,Increases all resistances by 4 and causes all spells you fully resist to restore 2% of your total mana. 1 sec. cooldown.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=29444,Talent: Magic Absorption; tree row 2
Arcane,Talent,Magic Absorption,29445,29441,Rank 3/5,,Increases all resistances by 6 and causes all spells you fully resist to restore 3% of your total mana. 1 sec. cooldown.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=29445,Talent: Magic Absorption; tree row 2
Arcane,Talent,Magic Absorption,29446,29441,Rank 4/5,,Increases all resistances by 8 and causes all spells you fully resist to restore 4% of your total mana. 1 sec. cooldown.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=29446,Talent: Magic Absorption; tree row 2
Arcane,Talent,Magic Absorption,29447,29441,Rank 5/5,,Increases all resistances by 10 and causes all spells you fully resist to restore 5% of your total mana. 1 sec. cooldown.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=29447,Talent: Magic Absorption; tree row 2
Arcane,Talent,Magic Attunement,11247,11247,Rank 1/2,,Increases the effect of your Amplify Magic and Dampen Magic spells by 25%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=11247,Talent: Magic Attunement; tree row 3
Arcane,Talent,Magic Attunement,12606,11247,Rank 2/2,,Increases the effect of your Amplify Magic and Dampen Magic spells by 50%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=12606,Talent: Magic Attunement; tree row 3
Arcane,Talent,Mind Mastery,31584,31584,Rank 1/5,,Increases spell damage by up to 5% of your total Intellect.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=31584,Talent: Mind Mastery; tree row 8
Arcane,Talent,Mind Mastery,31585,31584,Rank 2/5,,Increases spell damage by up to 10% of your total Intellect.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=31585,Talent: Mind Mastery; tree row 8
Arcane,Talent,Mind Mastery,31586,31584,Rank 3/5,,Increases spell damage by up to 15% of your total Intellect.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=31586,Talent: Mind Mastery; tree row 8
Arcane,Talent,Mind Mastery,31587,31584,Rank 4/5,,Increases spell damage by up to 20% of your total Intellect.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=31587,Talent: Mind Mastery; tree row 8
Arcane,Talent,Mind Mastery,31588,31584,Rank 5/5,,Increases spell damage by up to 25% of your total Intellect.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=31588,Talent: Mind Mastery; tree row 8
Arcane,Talent Ability,Presence of Mind,12043,12043,Rank 1/1,,"When activated, your next Mage spell with a casting time less than 10 sec becomes an instant cast spell.",Offensive,Main,180,,,,Cooldown + aura,"DPS, HAS_BUFF, MAJOR, PVE_PVP",https://www.wowhead.com/tbc/spell=12043,Talent-required | Talent: Presence of Mind
Arcane,Talent,Prismatic Cloak,31574,31574,Rank 1/2,,Reduces all damage taken by 2%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=31574,Talent: Prismatic Cloak; tree row 6
Arcane,Talent,Prismatic Cloak,31575,31574,Rank 2/2,,Reduces all damage taken by 4%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=31575,Talent: Prismatic Cloak; tree row 6
Arcane,Talent Ability,Slow,31589,31589,Rank 1/1,,"Reduces target's movement speed by 50%, increases the time between ranged attacks by 50% and increases casting time by 50%. Lasts 15 sec. Slow can only affect one target at a time.",Crowd Control,Utility,0,15,20% of base mana,,Cooldown,"CC_SOFT, UTILITY",https://www.wowhead.com/tbc/spell=31589,Talent-required | Talent: Slow
Arcane,Talent,Spell Power,35578,35578,Rank 1/2,,Increases critical strike damage bonus of all spells by 25%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=35578,Talent: Spell Power; tree row 7
Arcane,Talent,Spell Power,35581,35578,Rank 2/2,,Increases critical strike damage bonus of all spells by 50%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=35581,Talent: Spell Power; tree row 7
Arcane,Talent,Wand Specialization,6057,6057,Rank 1/2,,Increases your damage with Wands by 13%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=6057,Talent: Wand Specialization; tree row 2
Arcane,Talent,Wand Specialization,6085,6057,Rank 2/2,,Increases your damage with Wands by 25%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=6085,Talent: Wand Specialization; tree row 2
"Arcane, Fire",Ability,Balefire Bolt,428878,428878,,,"Unleash a reality-distorting burst of raw magic at your enemy, dealing damage. Each cast increases the damage of subsequent Balefire Bolts by 10% but also deals increasing damage to you, stacking up to 10 times.",Offensive,Main,0,,,,Cooldown,"DPS, PVE_PVP, ROTATIONAL",https://www.wowhead.com/tbc/spell=428878,
"Arcane, Frost",Ability,Spellfrost Bolt,412532,412532,,,"Launches a bolt of spellfrost at the enemy, causing Spellfrost damage and slowing the target's movement speed.",Offensive,Main,0,,,,Cooldown,"DPS, PVE_PVP, ROTATIONAL",https://www.wowhead.com/tbc/spell=412532,
Class-wide / Shared,Ability,Amplify Magic,1008,1008,Rank 1,18,"Amplifies magic used against the targeted party member, increasing damage taken from spells by up to 15 and healing spells by up to 30. Lasts 10 min.",Utility,Utility,0,600,150 Mana,,Cooldown,"BUFF, LONG_BUFF, SITUATIONAL, UTILITY",https://www.wowhead.com/tbc/spell=1008,
Class-wide / Shared,Ability,Amplify Magic,8455,1008,Rank 2,30,"Amplifies magic used against the targeted party member, increasing damage taken from spells by up to 30 and healing spells by up to 60. Lasts 10 min.",Utility,Utility,0,600,250 Mana,,Cooldown,"BUFF, LONG_BUFF, SITUATIONAL, UTILITY",https://www.wowhead.com/tbc/spell=8455,
Class-wide / Shared,Ability,Amplify Magic,10169,1008,Rank 3,42,"Amplifies magic used against the targeted party member, increasing damage taken from spells by up to 50 and healing spells by up to 100. Lasts 10 min.",Utility,Utility,0,600,350 Mana,,Cooldown,"BUFF, LONG_BUFF, SITUATIONAL, UTILITY",https://www.wowhead.com/tbc/spell=10169,
Class-wide / Shared,Ability,Amplify Magic,10170,1008,Rank 4,54,"Amplifies magic used against the targeted party member, increasing damage taken from spells by up to 75 and healing spells by up to 150. Lasts 10 min.",Utility,Utility,0,600,450 Mana,,Cooldown,"BUFF, LONG_BUFF, SITUATIONAL, UTILITY",https://www.wowhead.com/tbc/spell=10170,
Class-wide / Shared,Ability,Amplify Magic,27130,1008,Rank 5,63,"Amplifies magic used against the targeted party member, increasing damage taken from spells by up to 90 and healing spells by up to 180. Lasts 10 min.",Utility,Utility,0,600,500 Mana,,Cooldown,"BUFF, LONG_BUFF, SITUATIONAL, UTILITY",https://www.wowhead.com/tbc/spell=27130,
Class-wide / Shared,Ability,Amplify Magic,33946,1008,Rank 6,69,"Amplifies magic used against the targeted party member, increasing damage taken from spells by up to 120 and healing spells by up to 240. Lasts 10 min.",Utility,Utility,0,600,600 Mana,,Cooldown,"BUFF, LONG_BUFF, SITUATIONAL, UTILITY",https://www.wowhead.com/tbc/spell=33946,
Class-wide / Shared,Ability,Arcane Brilliance,23028,23028,Rank 1,56,"Infuses the target's party with brilliance, increasing their Intellect by 31 for 1 hour.",Utility,Utility,0,3600,1500 Mana,,Cooldown,"BUFF, LONG_BUFF, UTILITY",https://www.wowhead.com/tbc/spell=23028,
Class-wide / Shared,Ability,Arcane Brilliance,27127,23028,Rank 2,70,"Infuses the target's party with brilliance, increasing their Intellect by 40 for 1 hour.",Utility,Utility,0,3600,1800 Mana,,Cooldown,"BUFF, LONG_BUFF, UTILITY",https://www.wowhead.com/tbc/spell=27127,
Class-wide / Shared,Ability,Arcane Intellect,1459,1459,Rank 1,1,Increases the target's Intellect by 2 for 30 min.,Utility,Utility,0,1800,25 Mana,,Cooldown,"BUFF, LONG_BUFF, UTILITY",https://www.wowhead.com/tbc/spell=1459,
Class-wide / Shared,Ability,Arcane Intellect,1460,1459,Rank 2,14,Increases the target's Intellect by 7 for 30 min.,Utility,Utility,0,1800,100 Mana,,Cooldown,"BUFF, LONG_BUFF, UTILITY",https://www.wowhead.com/tbc/spell=1460,
Class-wide / Shared,Ability,Arcane Intellect,1461,1459,Rank 3,28,Increases the target's Intellect by 15 for 30 min.,Utility,Utility,0,1800,250 Mana,,Cooldown,"BUFF, LONG_BUFF, UTILITY",https://www.wowhead.com/tbc/spell=1461,
Class-wide / Shared,Ability,Arcane Intellect,10156,1459,Rank 4,42,Increases the target's Intellect by 22 for 30 min.,Utility,Utility,0,1800,415 Mana,,Cooldown,"BUFF, LONG_BUFF, UTILITY",https://www.wowhead.com/tbc/spell=10156,
Class-wide / Shared,Ability,Arcane Intellect,10157,1459,Rank 5,56,Increases the target's Intellect by 31 for 30 min.,Utility,Utility,0,1800,575 Mana,,Cooldown,"BUFF, LONG_BUFF, UTILITY",https://www.wowhead.com/tbc/spell=10157,
Class-wide / Shared,Ability,Arcane Intellect,27126,1459,Rank 6,70,Increases the target's Intellect by 40 for 30 min.,Utility,Utility,0,1800,700 Mana,,Cooldown,"BUFF, LONG_BUFF, UTILITY",https://www.wowhead.com/tbc/spell=27126,
Class-wide / Shared,Ability,Blink,1953,1953,,20,"Teleports the caster 20 yards forward, unless something is in the way. Also frees the caster from stuns and bonds.",Mobility,Utility,15,,21% of base mana,,Cooldown,"MOVEMENT, MOVEMENT_ESCAPE",https://www.wowhead.com/tbc/spell=1953,
Class-wide / Shared,Ability,Chronostatic Preservation,436516,436516,,,"Heals a friendly target and applies a Temporal Beacon to them, healing them when you cast healing spells on other targets.",Healing,Utility,6,,,,Cooldown,"HEAL, HEAL_SINGLE, PVE",https://www.wowhead.com/tbc/spell=436516,
Class-wide / Shared,Ability,Cone of Cold,120,120,Rank 1,26,"Targets in a cone in front of the caster take 
102 to 
112 Frost damage and are slowed by 50% for 8 sec.",Crowd Control,Utility,10,8,210 Mana,,Cooldown,"AOE, CC_SOFT, DPS",https://www.wowhead.com/tbc/spell=120,
Class-wide / Shared,Ability,Cone of Cold,8492,120,Rank 2,34,"Targets in a cone in front of the caster take 
151 to 
165 Frost damage and are slowed by 50% for 8 sec.",Crowd Control,Utility,10,8,290 Mana,,Cooldown,"AOE, CC_SOFT, DPS",https://www.wowhead.com/tbc/spell=8492,
