display	parent	regionType	load	spellRefs	auraRefs	children
Buff		dynamicgroup	{"class":{"multi":[]},"size":{"multi":[]},"spec":{"multi":[]}}			["Ashen Skin","Ember Skin","Magma Skin","Dragon Skin"]
Ashen Skin		icon	{"knowntalent":800796,"specialization":{"multi":[true],"single":1},"size":{"multi":[]},"class":{"multi":[],"single":"PYROMANCER"},"use_knowntalent":true,"spec":{"multi":[]},"use_class":true,"use_spellknown":true,"use_never":false,"spellknown":504720}		504720,504707,681314,680387	[]
Ember Skin		icon	{"knowntalent":800796,"specialization":{"multi":[true],"single":1},"size":{"multi":[]},"class":{"multi":[],"single":"PYROMANCER"},"use_knowntalent":true,"spec":{"multi":[]},"use_class":true,"use_spellknown":true,"use_never":false,"spellknown":504720}		504720,504707,681314,680387	[]
Magma Skin		icon	{"knowntalent":800796,"specialization":{"multi":[true],"single":1},"size":{"multi":[]},"class":{"multi":[],"single":"PYROMANCER"},"use_knowntalent":true,"spec":{"multi":[]},"use_class":true,"use_spellknown":true,"use_never":false,"spellknown":504720}		504720,504707,681314,680387	[]
Dragon Skin		icon	{"knowntalent":800796,"specialization":{"multi":[true],"single":1},"size":{"multi":[]},"class":{"multi":[],"single":"PYROMANCER"},"use_knowntalent":true,"spec":{"multi":[]},"use_class":true,"use_spellknown":true,"use_never":false,"spellknown":504720}		504720,504707,681314,680387	[]
Spells aura		dynamicgroup	{"class":{"multi":[]},"size":{"multi":[]},"spec":{"multi":[]}}			["Eruption buff","Volcanic Shell buff","Kael's Command buff","Essence of Malygos buff","Roaring Pyre buff"]
Eruption buff		icon	{"knowntalent":800796,"specialization":{"multi":[true],"single":1},"size":{"multi":[]},"class":{"multi":[],"single":"PYROMANCER"},"use_knowntalent":true,"spec":{"multi":[]},"use_class":true,"use_spellknown":true,"use_never":false,"spellknown":800103}	804230,false,true	804230,800103	[]
Volcanic Shell buff		icon	{"knowntalent":800796,"specialization":{"multi":[true],"single":1},"size":{"multi":[]},"class":{"multi":[],"single":"PYROMANCER"},"use_knowntalent":true,"spec":{"multi":[]},"use_class":true,"use_spellknown":true,"use_never":false,"spellknown":807622}	804230,false,true	804230,807621	[]
Kael's Command buff		icon	{"knowntalent":800796,"specialization":{"multi":[true],"single":1},"size":{"multi":[]},"class":{"multi":[],"single":"PYROMANCER"},"use_knowntalent":true,"spec":{"multi":[]},"use_class":true,"use_spellknown":true,"use_never":false,"spellknown":800816}	804230,false,true	804230,Kael's Command	[]
Essence of Malygos buff		icon	{"knowntalent":800796,"specialization":{"multi":[true],"single":1},"size":{"multi":[]},"class":{"multi":[],"single":"PYROMANCER"},"use_knowntalent":true,"spec":{"multi":[]},"use_class":true,"use_spellknown":true,"use_never":false,"spellknown":802120}	804230,false,true	804230,802120	[]
Roaring Pyre buff		icon	{"knowntalent":800796,"specialization":{"multi":[true],"single":1},"size":{"multi":[]},"class":{"multi":[],"single":"PYROMANCER"},"use_knowntalent":true,"spec":{"multi":[]},"use_class":true,"use_spellknown":true,"use_never":false,"spellknown":704278}	804230,false,true	804230,704279	[]
Buff track		dynamicgroup	{"class":{"multi":[]},"size":{"multi":[]},"spec":{"multi":[]}}			["Speed","Flamecasting stack","Lifebinder's Fire"]
Speed		icon	{"knowntalent":800796,"spec":{"multi":[]},"size":{"multi":[]},"use_never":false,"specialization":{"multi":[true],"single":1},"class":{"multi":[],"single":"PYROMANCER"},"use_class":true,"use_knowntalent":true}	false,804301	Searing Speed,804301	[]
Flamecasting stack		icon	{"knowntalent":800796,"spec":{"multi":[]},"size":{"multi":[]},"use_never":false,"specialization":{"multi":[true],"single":1},"class":{"multi":[],"single":"PYROMANCER"},"use_class":true,"use_knowntalent":true}	true,804301	804301	[]
Lifebinder's Fire		icon	{"knowntalent":800796,"spec":{"multi":[]},"size":{"multi":[]},"use_never":false,"specialization":{"multi":[true],"single":1},"class":{"multi":[],"single":"PYROMANCER"},"use_class":true,"use_knowntalent":true}	false,804301	680367,804301	[]
Down spells		dynamicgroup	{"class":{"multi":[]},"size":{"multi":[]},"spec":{"multi":[]}}			["Essence of Malygos","Flame Step-","Reborn from Ash","Grace of Alexstrasza","Neltharion's Resolve","Supernova","Gaze of Ysera","Cataclysm","Shadowmeld"]
Essence of Malygos		icon	{"knowntalent":800796,"specialization":{"multi":[true],"single":1},"size":{"multi":[]},"class":{"multi":[],"single":"PYROMANCER"},"use_knowntalent":true,"spec":{"multi":[]},"use_class":true,"use_spellknown":true,"use_never":false,"spellknown":802120}	true,802120		[]
Flame Step-		icon	{"knowntalent":800796,"specialization":{"multi":[true],"single":1},"size":{"multi":[]},"class":{"multi":[],"single":"PYROMANCER"},"use_knowntalent":true,"spec":{"multi":[]},"use_class":true,"use_spellknown":true,"use_never":false,"spellknown":801911}	true,801911		[]
Reborn from Ash		icon	{"knowntalent":800796,"use_namerealm":false,"talent":{"multi":[]},"use_knowntalent":true,"spec":{"multi":[]},"use_mysticenchantactive":false,"use_spellknown":true,"specialization":{"multi":[true],"single":1},"size":{"multi":[]},"class":{"multi":{"DRUID":true},"single":"PYROMANCER"},"race":{"multi":{"Undead":true},"single":"Undead"},"use_talentknown":false,"use_class":true,"mysticenchantactive":86460,"use_exact_mysticenchantactive":false,"spellknown":804231,"namerealm":"Neewtwo","use_never":false}	Icy Penance,false,true,804231		[]
Grace of Alexstrasza		icon	{"knowntalent":800796,"use_namerealm":false,"talent":{"multi":[]},"use_knowntalent":true,"spec":{"multi":[]},"use_mysticenchantactive":false,"use_spellknown":true,"specialization":{"multi":[true],"single":1},"size":{"multi":[]},"class":{"multi":{"DRUID":true},"single":"PYROMANCER"},"race":{"multi":{"Undead":true},"single":"Undead"},"use_talentknown":false,"use_class":true,"mysticenchantactive":86460,"use_exact_mysticenchantactive":false,"spellknown":802167,"namerealm":"Neewtwo","use_never":false}	Icy Penance,false,true,802167		[]
Neltharion's Resolve		icon	{"knowntalent":800796,"use_namerealm":false,"talent":{"multi":[]},"use_knowntalent":true,"spec":{"multi":[]},"use_mysticenchantactive":false,"use_spellknown":true,"specialization":{"multi":[true],"single":1},"size":{"multi":[]},"class":{"multi":{"DRUID":true},"single":"PYROMANCER"},"race":{"multi":{"Undead":true},"single":"Undead"},"use_talentknown":false,"use_class":true,"mysticenchantactive":86460,"use_exact_mysticenchantactive":false,"spellknown":520488,"namerealm":"Neewtwo","use_never":false}	Icy Penance,false,true,520488		[]
Supernova		icon	{"knowntalent":800796,"use_namerealm":false,"talent":{"multi":[]},"use_knowntalent":true,"spec":{"multi":[]},"use_mysticenchantactive":false,"use_spellknown":true,"specialization":{"multi":[true],"single":1},"size":{"multi":[]},"class":{"multi":{"DRUID":true},"single":"PYROMANCER"},"race":{"multi":{"Undead":true},"single":"Undead"},"use_talentknown":false,"use_class":true,"mysticenchantactive":86460,"use_exact_mysticenchantactive":false,"spellknown":803546,"namerealm":"Neewtwo","use_never":false}	Icy Penance,false,true,803546		[]
Gaze of Ysera		icon	{"knowntalent":800796,"use_namerealm":false,"talent":{"multi":[]},"use_knowntalent":true,"spec":{"multi":[]},"use_mysticenchantactive":false,"use_spellknown":true,"specialization":{"multi":[true],"single":1},"size":{"multi":[]},"class":{"multi":{"DRUID":true},"single":"PYROMANCER"},"race":{"multi":{"Undead":true},"single":"Undead"},"use_talentknown":false,"use_class":true,"mysticenchantactive":86460,"use_exact_mysticenchantactive":false,"spellknown":503229,"namerealm":"Neewtwo","use_never":false}	Icy Penance,false,true,503229		[]
Cataclysm		icon	{"knowntalent":800796,"use_namerealm":false,"talent":{"multi":[]},"use_knowntalent":true,"spec":{"multi":[]},"use_mysticenchantactive":false,"use_spellknown":true,"specialization":{"multi":[true],"single":1},"size":{"multi":[]},"class":{"multi":{"DRUID":true},"single":"PYROMANCER"},"race":{"multi":{"Undead":true},"single":"Undead"},"use_talentknown":false,"use_class":true,"mysticenchantactive":86460,"use_exact_mysticenchantactive":false,"spellknown":520218,"namerealm":"Neewtwo","use_never":false}	Icy Penance,false,true,520218		[]
Shadowmeld		icon	{"knowntalent":800796,"use_namerealm":false,"talent":{"multi":[]},"use_knowntalent":true,"spec":{"multi":[]},"use_mysticenchantactive":false,"use_spellknown":true,"specialization":{"multi":[true],"single":1},"size":{"multi":[]},"class":{"multi":{"DRUID":true},"single":"PYROMANCER"},"race":{"multi":{"Undead":true},"single":"Undead"},"use_talentknown":false,"use_class":true,"mysticenchantactive":86460,"use_exact_mysticenchantactive":false,"spellknown":58984,"namerealm":"Neewtwo","use_never":false}	Icy Penance,false,true,58984		[]
Core Spells		dynamicgroup	{"class":{"multi":[]},"size":{"multi":[]},"spec":{"multi":[]}}			["Lava Shard","Lava Barrier","SpellBurn","Dragon Leap","Meteor","Sunstridder Array","Ignis Ultimatus","Roaring Pyre","Eruption","Kael's Command","Emberheart"]
Lava Shard		icon	{"knowntalent":800796,"use_namerealm":false,"talent":{"multi":[]},"use_knowntalent":true,"spec":{"multi":[]},"use_mysticenchantactive":false,"use_spellknown":true,"specialization":{"multi":[true],"single":1},"size":{"multi":[]},"class":{"multi":{"DRUID":true},"single":"PYROMANCER"},"race":{"multi":{"Undead":true},"single":"Undead"},"use_talentknown":false,"use_class":true,"mysticenchantactive":86460,"use_exact_mysticenchantactive":false,"spellknown":503233,"namerealm":"Neewtwo","use_never":false}	Icy Penance,false,true,803950		[]
Lava Barrier		icon	{"knowntalent":800796,"use_namerealm":false,"talent":{"multi":[]},"use_knowntalent":true,"spec":{"multi":[]},"use_mysticenchantactive":false,"use_spellknown":true,"specialization":{"multi":[true],"single":1},"size":{"multi":[]},"class":{"multi":{"DRUID":true},"single":"PYROMANCER"},"race":{"multi":{"Undead":true},"single":"Undead"},"use_talentknown":false,"use_class":true,"mysticenchantactive":86460,"use_exact_mysticenchantactive":false,"spellknown":535650,"namerealm":"Neewtwo","use_never":false}	Icy Penance,false,true,504380		[]
SpellBurn		icon	{"knowntalent":800796,"use_namerealm":false,"talent":{"multi":[]},"use_knowntalent":true,"spec":{"multi":[]},"use_mysticenchantactive":false,"use_spellknown":true,"specialization":{"multi":[true],"single":1},"size":{"multi":[]},"class":{"multi":{"DRUID":true},"single":"PYROMANCER"},"race":{"multi":{"Undead":true},"single":"Undead"},"use_talentknown":false,"use_class":true,"mysticenchantactive":86460,"use_exact_mysticenchantactive":false,"spellknown":800808,"namerealm":"Neewtwo","use_never":false}	Icy Penance,false,true,800808		[]
Dragon Leap		icon	{"knowntalent":800796,"use_namerealm":false,"talent":{"multi":[]},"use_knowntalent":true,"spec":{"multi":[]},"use_mysticenchantactive":false,"use_spellknown":true,"specialization":{"multi":[true],"single":1},"size":{"multi":[]},"class":{"multi":{"DRUID":true},"single":"PYROMANCER"},"race":{"multi":{"Undead":true},"single":"Undead"},"use_talentknown":false,"use_class":true,"mysticenchantactive":86460,"use_exact_mysticenchantactive":false,"spellknown":807616,"namerealm":"Neewtwo","use_never":false}	Icy Penance,false,true,807616		[]
Meteor		icon	{"knowntalent":800796,"use_namerealm":false,"talent":{"multi":[]},"use_knowntalent":true,"spec":{"multi":[]},"use_mysticenchantactive":false,"use_spellknown":true,"specialization":{"multi":[true],"single":1},"size":{"multi":[]},"class":{"multi":{"DRUID":true},"single":"PYROMANCER"},"race":{"multi":{"Undead":true},"single":"Undead"},"use_talentknown":false,"use_class":true,"mysticenchantactive":86460,"use_exact_mysticenchantactive":false,"spellknown":500649,"namerealm":"Neewtwo","use_never":false}	Icy Penance,false,true,500135		[]
Sunstridder Array		icon	{"knowntalent":800796,"specialization":{"multi":[true],"single":1},"size":{"multi":[]},"class":{"multi":[],"single":"PYROMANCER"},"use_knowntalent":true,"spec":{"multi":[]},"use_class":true,"use_spellknown":true,"use_never":false,"spellknown":804230}	804230,false,true	804230	[]
Ignis Ultimatus		icon	{"knowntalent":800796,"specialization":{"multi":[true],"single":1},"size":{"multi":[]},"class":{"multi":[],"single":"PYROMANCER"},"use_knowntalent":true,"spec":{"multi":[]},"use_class":true,"use_spellknown":true,"use_never":false,"spellknown":680369}	true,680369	804301	[]
Roaring Pyre		icon	{"knowntalent":800796,"use_namerealm":false,"talent":{"multi":[]},"use_knowntalent":true,"spec":{"multi":[]},"use_mysticenchantactive":false,"use_spellknown":true,"specialization":{"multi":[true],"single":1},"size":{"multi":[]},"class":{"multi":{"DRUID":true},"single":"PYROMANCER"},"race":{"multi":{"Undead":true},"single":"Undead"},"use_talentknown":false,"use_class":true,"mysticenchantactive":86460,"use_exact_mysticenchantactive":false,"spellknown":704278,"namerealm":"Neewtwo","use_never":false}	Icy Penance,false,true,704278		[]
Eruption		icon	{"knowntalent":800796,"specialization":{"multi":[true],"single":1},"size":{"multi":[]},"class":{"multi":[],"single":"PYROMANCER"},"use_knowntalent":true,"spec":{"multi":[]},"use_class":true,"use_spellknown":true,"use_never":false,"spellknown":800103}	804230,false,true,800103	804230,800103	[]
Kael's Command		icon	{"knowntalent":800796,"specialization":{"multi":[true],"single":1},"size":{"multi":[]},"class":{"multi":[],"single":"PYROMANCER"},"use_knowntalent":true,"spec":{"multi":[]},"use_class":true,"use_spellknown":true,"use_never":false,"spellknown":800816}	804230,false,true,800816	804230,Kael's Command	[]
Emberheart		icon	{"knowntalent":800796,"specialization":{"multi":[true],"single":1},"size":{"multi":[]},"class":{"multi":[],"single":"PYROMANCER"},"use_knowntalent":true,"spec":{"multi":[]},"use_class":true,"use_spellknown":true,"use_never":false,"spellknown":680378}	true,680378	680378	[]
Hunter - No Pet		text	{"knowntalent":800796,"affixes":{"multi":[]},"talent":{"multi":[]},"use_knowntalent":true,"spec":{"multi":{"1":true,"3":true}},"role":{"multi":[]},"talent2":{"multi":[]},"difficulty":{"multi":{"lfr":true,"challenge":true,"heroic":true,"timewalking":true,"normal":true,"mythic":true}},"size":{"multi":{"scenario":true,"flexible":true,"arena":true,"twenty":true,"pvp":true,"twentyfive":true,"fortyman":true,"ten":true,"party":true}},"faction":{"multi":[]},"use_spec":false,"class":{"multi":{"HUNTER":true},"single":"PYROMANCER"},"ingroup":{"multi":[]},"race":{"multi":[]},"use_class":true,"use_never":f			[]
Ressources bar		group	{"class":{"multi":[]},"size":{"multi":[]},"spec":{"multi":[]}}			["Ember","Mana bar","Casting Bar","Heat"]
Ember		group	{"class":{"multi":[]},"size":{"multi":[]},"spec":{"multi":[]}}			["Ember charges 5","Ember charges 4","Ember charges 3","Ember charges 2","Ember charges 1"]
Ember charges 5		texture	{"knowntalent":800796,"spec":{"multi":[]},"size":{"multi":[]},"use_never":false,"specialization":{"multi":[true],"single":1},"class":{"multi":[],"single":"PYROMANCER"},"use_class":true,"use_knowntalent":true}	807533,true	807533	[]
Ember charges 4		texture	{"knowntalent":800796,"spec":{"multi":[]},"size":{"multi":[]},"use_never":false,"specialization":{"multi":[true],"single":1},"class":{"multi":[],"single":"PYROMANCER"},"use_class":true,"use_knowntalent":true}	807533,true	807533	[]
Ember charges 3		texture	{"knowntalent":800796,"spec":{"multi":[]},"size":{"multi":[]},"use_never":false,"specialization":{"multi":[true],"single":1},"class":{"multi":[],"single":"PYROMANCER"},"use_class":true,"use_knowntalent":true}	807533,true	807533	[]
Ember charges 2		texture	{"knowntalent":800796,"spec":{"multi":[]},"size":{"multi":[]},"use_never":false,"specialization":{"multi":[true],"single":1},"class":{"multi":[],"single":"PYROMANCER"},"use_class":true,"use_knowntalent":true}	807533,true	807533	[]
Ember charges 1		texture	{"knowntalent":800796,"spec":{"multi":[]},"size":{"multi":[]},"use_never":false,"specialization":{"multi":[true],"single":1},"class":{"multi":[],"single":"PYROMANCER"},"use_class":true,"use_knowntalent":true}	807533,true	807533	[]
Mana bar		aurabar	{"knowntalent":800796,"specialization":{"multi":[true],"single":1},"size":{"multi":[]},"use_namerealm":false,"class":{"multi":{"DRUID":true},"single":"PYROMANCER"},"talent":{"multi":[]},"use_knowntalent":true,"use_talentknown":false,"spec":{"multi":[]},"use_class":true,"use_mysticenchantactive":true,"use_spellknown":false,"use_never":false,"namerealm":"","use_exact_mysticenchantactive":false}			[]
Casting Bar		aurabar	{"knowntalent":800796,"specialization":{"multi":[true],"single":1},"size":{"multi":[]},"use_namerealm":false,"class":{"multi":{"DRUID":true},"single":"PYROMANCER"},"talent":{"multi":[]},"use_knowntalent":true,"use_talentknown":false,"spec":{"multi":[]},"use_class":true,"use_mysticenchantactive":true,"use_spellknown":false,"use_never":false,"namerealm":"","use_exact_mysticenchantactive":false}			[]
Heat		group	{"class":{"multi":[]},"size":{"multi":[]},"spec":{"multi":[]}}			["Pyro Heat","Heat nbr"]
Pyro Heat		aurabar	{"knowntalent":800796,"specialization":{"multi":[true],"single":1},"size":{"multi":[]},"use_spec":true,"class":{"multi":{"SHAMAN":true,"CULTIST":true},"single":"PYROMANCER"},"talent":{"multi":[]},"use_knowntalent":true,"spec":{"multi":[],"single":1},"use_class":true,"role":{"multi":[]},"use_never":false}			[]
Heat nbr		text	{"knowntalent":800796,"spec":{"multi":[]},"size":{"multi":[]},"use_never":false,"specialization":{"multi":[true],"single":1},"class":{"multi":[],"single":"PYROMANCER"},"use_class":true,"use_knowntalent":true}		807389	[]
