display	parent	regionType	load	spellRefs	auraRefs	children
Libram of Grace_		icon	{"use_class":true,"use_never":false,"class":{"single":"MONK","multi":[]},"spec":{"multi":[]},"size":{"multi":[]}}	801463,true	801463	[]
Libram of Zeal_		icon	{"use_class":true,"use_never":false,"spec":{"multi":[]},"class":{"single":"MONK","multi":[]},"size":{"multi":[]}}	true,801466	801463	[]
Templar_General		group	{"size":{"multi":[]},"spec":{"multi":[]},"class":{"multi":[]},"talent":{"multi":[]}}			["Templar_Energy_Bar","Templar_Oath_Chain","Templar_Reminders_","paladin - shared abilities"]
Templar_Energy_Bar		aurabar	{"use_class":true,"use_never":false,"talent":{"multi":[]},"spec":{"multi":[]},"class":{"single":"MONK","multi":[]},"size":{"multi":[]}}			[]
Templar_Oath_Chain		aurabar	{"use_class":true,"use_never":false,"talent":{"multi":[]},"spec":{"multi":[]},"class":{"single":"MONK","multi":[]},"size":{"multi":[]}}		704576	[]
Templar_Reminders_		group	{"size":{"multi":[]},"spec":{"multi":[]},"class":{"multi":[]},"talent":{"multi":[]}}			["Templar_Condemn_Stacks","Templar_Blade_of_Faith_","Templar_Personal_Buff_Duration","Tithe_Buffs","Templar_Aura_"]
Templar_Condemn_Stacks		icon	{"use_class":true,"use_never":false,"talent":{"multi":[]},"spec":{"multi":[]},"class":{"single":"MONK","multi":[]},"size":{"multi":[]}}		806864	[]
Templar_Blade_of_Faith_		icon	{"use_class":true,"use_never":false,"talent":{"multi":[]},"spec":{"multi":[]},"class":{"single":"MONK","multi":[]},"size":{"multi":[]}}		803872	[]
Templar_Personal_Buff_Duration		icon	{"use_class":true,"use_never":false,"talent":{"multi":[]},"spec":{"multi":[]},"class":{"single":"MONK","multi":[]},"size":{"multi":[]}}		Gift of Zeal,Greater Gift of Zeal,Gift of Fervor,Greater Crusader's Oath	[]
Tithe_Buffs		icon	{"use_class":true,"use_never":false,"talent":{"multi":[]},"spec":{"multi":[]},"class":{"single":"MONK","multi":[]},"size":{"multi":[]}}		804816	[]
Templar_Aura_		icon	{"use_class":true,"use_never":false,"talent":{"multi":[]},"spec":{"multi":[]},"class":{"single":"MONK","multi":[]},"size":{"multi":[]}}		560653	[]
paladin - shared abilities		group	{"size":{"multi":[]},"spec":{"multi":[]},"class":{"multi":[]},"talent":{"multi":[]}}			["Libram of Grace__","Libram of Zeal__","Libram of Tenacity__","Libram of Fervor__","Libram of Consecration__","Silverhand Incantation_"]
Libram of Grace__		icon	{"use_class":true,"use_never":false,"spec":{"multi":[]},"class":{"single":"MONK","multi":[]},"size":{"multi":[]}}		801463	[]
Libram of Zeal__		icon	{"use_class":true,"use_never":false,"class":{"single":"MONK","multi":[]},"spec":{"multi":[]},"size":{"multi":[]}}		801466	[]
Libram of Tenacity__		icon	{"use_class":true,"use_never":false,"spec":{"multi":[]},"class":{"single":"MONK","multi":[]},"size":{"multi":[]}}		801461	[]
Libram of Fervor__		icon	{"use_class":true,"use_never":false,"spec":{"multi":[]},"class":{"single":"MONK","multi":[]},"size":{"multi":[]}}		805423	[]
Libram of Consecration__		icon	{"use_class":true,"use_never":false,"spec":{"multi":[]},"class":{"single":"MONK","multi":[]},"size":{"multi":[]}}		801441	[]
Silverhand Incantation_		icon	{"use_class":true,"use_never":false,"spec":{"multi":[]},"class":{"single":"MONK","multi":[]},"size":{"multi":[]}}	true,801465		[]
Templar_Oathkeeper		group	{"size":{"multi":[]},"spec":{"multi":[]},"class":{"multi":[]},"talent":{"multi":[]}}			["Benediction_","Stagger_","Titan_Strike","Sacred_Swing","Chastise_","Reckoning_"]
Benediction_		icon	{"knowntalent":705293,"use_never":false,"use_class":true,"class":{"single":"MONK","multi":[]},"spec":{"multi":[]},"use_knowntalent":true,"size":{"multi":[]}}	803375,true,803373		[]
Stagger_		aurabar	{"knowntalent":705293,"use_never":false,"talent":{"multi":{"66":true}},"spec":{"multi":[]},"use_knowntalent":true,"use_talent":false,"use_class":true,"class":{"single":"MONK","multi":[]},"size":{"multi":[]}}	true,803237	Holy Shield,803237	[]
Titan_Strike		icon	{"knowntalent":705293,"use_never":false,"use_class":true,"class":{"single":"MONK","multi":[]},"spec":{"multi":[]},"use_knowntalent":true,"size":{"multi":[]}}	806521,true		[]
Sacred_Swing		icon	{"knowntalent":705293,"use_never":false,"use_class":true,"class":{"single":"MONK","multi":[]},"spec":{"multi":[]},"use_knowntalent":true,"size":{"multi":[]}}	748502,true	748502	[]
Chastise_		icon	{"knowntalent":705293,"use_never":false,"use_class":true,"class":{"single":"MONK","multi":[]},"spec":{"multi":[]},"use_knowntalent":true,"size":{"multi":[]}}	true,503135,503141		[]
Reckoning_		icon	{"knowntalent":705293,"use_never":false,"use_class":true,"class":{"single":"MONK","multi":[]},"spec":{"multi":[]},"use_knowntalent":true,"size":{"multi":[]}}	805421,true		[]
Templar_Crusader_		group	{"talent":{"multi":[]},"spec":{"multi":[]},"class":{"multi":[]},"size":{"multi":[]}}			["Blade_of_faith_spell","Titan_Strike_","Righteous_Tempest_","Chastise__","Argent_Blade"]
Blade_of_faith_spell		icon	{"knowntalent":805409,"use_never":false,"use_class":true,"spec":{"multi":[]},"class":{"single":"MONK","multi":[]},"use_knowntalent":true,"size":{"multi":[]}}	true,803880		[]
Titan_Strike_		icon	{"knowntalent":805409,"use_never":false,"use_class":true,"spec":{"multi":[]},"class":{"single":"MONK","multi":[]},"use_knowntalent":true,"size":{"multi":[]}}	true,806521		[]
Righteous_Tempest_		icon	{"knowntalent":805409,"use_never":false,"use_class":true,"spec":{"multi":[]},"class":{"single":"MONK","multi":[]},"use_knowntalent":true,"size":{"multi":[]}}	true,807274	748502	[]
Chastise__		icon	{"knowntalent":805409,"use_never":false,"use_class":true,"spec":{"multi":[]},"class":{"single":"MONK","multi":[]},"use_knowntalent":true,"size":{"multi":[]}}	503135,true,503141,301065,false	301172	[]
Argent_Blade		icon	{"knowntalent":805409,"use_never":false,"use_class":true,"spec":{"multi":[]},"class":{"single":"MONK","multi":[]},"use_knowntalent":true,"size":{"multi":[]}}	true,807268		[]
Templar_Zealot		group	{"size":{"multi":[]},"spec":{"multi":[]},"class":{"multi":[]},"talent":{"multi":[]}}			["Blade_of_faith_spell_","Titan_Strike__","Righteous_Upheaval_","Chastise___","Vindication_"]
Blade_of_faith_spell_		icon	{"use_class":true,"use_never":false,"knowntalent":801446,"class":{"single":"MONK","multi":[]},"spec":{"multi":[]},"use_knowntalent":true,"size":{"multi":[]}}	803880,true		[]
Titan_Strike__		icon	{"use_class":true,"use_never":false,"knowntalent":801446,"class":{"single":"MONK","multi":[]},"spec":{"multi":[]},"use_knowntalent":true,"size":{"multi":[]}}	806521,true		[]
Righteous_Upheaval_		icon	{"use_class":true,"use_never":false,"knowntalent":801446,"class":{"single":"MONK","multi":[]},"spec":{"multi":[]},"use_knowntalent":true,"size":{"multi":[]}}	501562,true	807764,748502	[]
Chastise___		icon	{"use_class":true,"use_never":false,"knowntalent":801446,"class":{"single":"MONK","multi":[]},"spec":{"multi":[]},"use_knowntalent":true,"size":{"multi":[]}}	true,503135,503141,563269,false,563270	563269	[]
Vindication_		icon	{"use_class":true,"use_never":false,"knowntalent":801446,"class":{"single":"MONK","multi":[]},"spec":{"multi":[]},"use_knowntalent":true,"size":{"multi":[]}}	801446,true		[]
